region	average_population	name
Алтайский край	2394,7	Altayskiy Kray
Амурская область	814,1	Amurskaya Oblast
Архангельская область	1197	Arcangelo|Archangel|Archangelsk|Arkhangelskaya Oblast
Астраханская область	1015,2	Astrachan|Astrakhanskaya Oblast
Белгородская область	1542,5	Belgorodskaya Oblast
Брянская область	1248,1	Bryanskaya Oblast
Владимирская область	1417,5	Vladimirskaya Oblast
Волгоградская область	2576	Stalingrad|Volgogradskaya Oblast
Вологодская область	1194,8	Vologodskaya Oblast
Воронежская область	2329,7	Voronezhskaya Oblast
г. Москва	12043,9	Mosca|Moscou|Moscow|Moskau|Moskova|Moskovskaya
г. Санкт-Петербург	5080	Saint Petersburg|Sankt-Peterburgskaya G.|Leningradskaya Oblast
Еврейская автономная область	171,5	Den jГёdiske autonome oblasten|Evrey|Jewish A.Obl.|Yahudi|Yevreyskaya A.Obl.|Evreyskaya AOb
Забайкальский край	1092,8	Zabaykalsky
Ивановская область	1046,1	Ivanovskaya Oblast
Иркутская область	2420,2	Irkutskaya Oblast
Кабардино-Балкарская Республика	858,7	Kabardin A.S.S.R.|Kabardino-Balkarskaya A.S.S.R.|Kabardino-Balkariya|Kabardino-Balkarsk|Kabard|Kabardino-Balkarskaya Republic
Калининградская область	958,9	Kaliningradskaya Oblast
Калужская область	1005,1	Kaluzhskaya Oblast
Камчатский край	320,2	KamГ§atka|Kamchatskaya Kray
Карачаево-Черкесская Республика	470,8	KaraГ§ay-Г‡erkes|Karachay-Cherkessiya|Karachayevo-Cherkesskaya Respublika|Karachayevo-Cherkessiya|Karachayevo-Cherkess Republic|K
Кемеровская область	2738,3	Kemerovskaya Oblast
Кировская область	1315	Vyatka|Vyatskaya G.|Kirovskaya Oblast
Костромская область	657,6	Kostromskaya Oblast
Краснодарский край	5367,2	Cossacks of the Black Sea|Kuban|Kubanskaya|Yekaterinodar|Krasnodarskiy Kray
Красноярский край	2849,6	Krasnoyarskiy Kray|Yeniseisk|Yeniseyskaya G.
Курганская область	881,5	Kurganskaya Oblast
Курская область	1119,1	Kurskaya Oblast
Ленинградская область	1757,5
Липецкая область	1161,1	Lipetskaya Oblast
Магаданская область	151,4	Magadanskaya Oblast
Московская область	7090,9
Мурманская область	775,7	Murmanskaya Oblast
Ненецкий автономный округ	42,9	Nenetskiy A.Okr.|Nenetskiy Aok
Нижегородская область	3285,7	Gor'kiy|Gor'kovskaya|Gorky|Nizhegorodskaya|Nizhniy-Novgorod|Nizhegorodskaya Oblast
Новгородская область	624,2	Novgorodskaya Oblast
Новосибирская область	2720,3	Novosibirskaya Oblast
Омская область	1973,9	Omskaya Oblast
Оренбургская область	2012,3	Chkalov|Orenburgskaya|Orenburgskaya Oblast
Орловская область	772,9	Orlovskaya|Or'ol|Oryol|Orlovskaya Oblast
Пензенская область	1364,6	Penzenskaya Oblast
Пермский край	2635,3	Molotov|Permskaya
Приморский край	1942,9	KГјsten-Gebiet|Maritime Territory|Primorsk|Primorskiy Kray
Псковская область	659	Pskovskaya Oblast
Республика Адыгея	445,4	Adygea|Adygeya|Adygheya|Republic of Adygeya|Adygeyskaya A.Obl.|Respublika Adygeya
Республика Алтай	211	Gorno-Altayskaya A.Obl.|Respublika Altay|Oirot|Republic of Altai
Республика Башкортостан	4065,3	Bashkir|Bashkiriya|Bashkirskaya A.S.S.R.|Republic of Bashkortostan|Respublika Bashkortostan
Республика Бурятия	972,8	Buryatiya|Buryat-Mongol A.S.S.R.|Republic of Buryatia|Buryatskaya A.S.S.R.|Respublika
